Device: Apple iPhone9,3; eSense app version: 4.3.3; ios version: 11.3.1;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-20112019-121614;;;;
DATUM (SS:MM:SS);20.11.19 12:16:14;;;;
ZEIT (SS:MM:SS);00:02:31;;;;
MAXIMUM;4,36 µS;;;;
MINIMUM;0,45 µS;;;;
DIFFERENZ MIN/MAX;3,91 µS;;;;
DURCHSCHNITT SESSION;3,36 µS;;;;
ZUNAHME (SS:MM:SS);00:00:23;;;;
STETIG (SS:MM:SS);00:00:00;;;;
ABNAHME (SS:MM:SS);00:02:08;;;;
;;;;;
GESAMT SCR;5;;;;
% SCR DER SITZUNG;21,0%;;;;
0-5 SCR/MIN (SS:MM:SS);00:02:40;;;;
6-9 SCR/MIN (SS:MM:SS);00:00:00;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:00;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
57,0;4,18;12:17:11:519;1;3;
57,2;4,16;12:17:11:719;1;3;
57,4;4,15;12:17:11:919;1;3;
57,6;4,13;12:17:12:119;1;3;
57,8;4,12;12:17:12:319;1;3;
58,0;4,10;12:17:12:519;1;3;
58,2;4,09;12:17:12:719;1;3;
58,4;4,07;12:17:12:919;1;3;
58,6;4,05;12:17:13:119;1;3;
58,8;4,04;12:17:13:319;1;4;
59,0;4,02;12:17:13:519;1;4;
59,2;4,00;12:17:13:719;1;4;
59,4;3,99;12:17:13:919;1;4;
59,6;3,97;12:17:14:119;1;4;
59,8;3,96;12:17:14:319;1;4;
60,0;3,95;12:17:14:519;1;4;
60,2;3,94;12:17:14:719;1;4;
60,4;3,92;12:17:14:919;1;4;
60,6;3,91;12:17:15:119;1;4;
60,8;3,90;12:17:15:319;1;4;
61,0;3,89;12:17:15:519;1;4;
61,2;3,88;12:17:15:719;1;4;
61,4;3,87;12:17:15:919;1;4;
61,6;3,86;12:17:16:119;1;4;
61,8;3,85;12:17:16:319;0;4;
62,0;3,84;12:17:16:519;0;4;
62,2;3,83;12:17:16:719;0;4;
62,4;3,82;12:17:16:919;0;4;
62,6;3,81;12:17:17:119;0;4;
62,8;3,80;12:17:17:319;0;4;
63,0;3,80;12:17:17:519;0;4;
63,2;3,79;12:17:17:719;0;4;
63,4;3,78;12:17:17:919;0;4;
63,6;3,78;12:17:18:119;0;4;
63,8;3,77;12:17:18:319;0;4;
64,0;3,76;12:17:18:519;0;4;
64,2;3,75;12:17:18:719;0;4;
64,4;3,75;12:17:18:919;0;4;
64,6;3,74;12:17:19:119;0;4;
64,8;3,73;12:17:19:319;0;4;
65,0;3,73;12:17:19:519;0;4;
65,2;3,72;12:17:19:719;0;4;
65,4;3,71;12:17:19:919;0;4;
65,6;3,71;12:17:20:119;0;4;
65,8;3,70;12:17:20:319;0;4;
66,0;3,69;12:17:20:519;0;4;
66,2;3,69;12:17:20:719;0;4;
66,4;3,68;12:17:20:919;0;4;
66,6;3,67;12:17:21:119;0;4;
66,8;3,67;12:17:21:319;0;4;
67,0;3,66;12:17:21:519;0;4;
67,2;3,66;12:17:21:719;0;4;
67,4;3,65;12:17:21:919;0;4;
67,6;3,65;12:17:22:119;0;4;
67,8;3,64;12:17:22:319;0;4;
68,0;3,63;12:17:22:519;0;4;
68,2;3,63;12:17:22:719;0;4;
68,4;3,62;12:17:22:919;0;4;
68,6;3,62;12:17:23:119;0;4;
68,8;3,61;12:17:23:319;0;4;
69,0;3,61;12:17:23:519;0;4;
69,2;3,60;12:17:23:719;0;4;
69,4;3,60;12:17:23:919;0;4;
69,6;3,59;12:17:24:119;0;4;
69,8;3,59;12:17:24:319;0;4;
70,0;3,59;12:17:24:519;0;4;
70,2;3,58;12:17:24:719;0;4;
70,4;3,58;12:17:24:919;0;4;
70,6;3,57;12:17:25:119;0;4;
70,8;3,57;12:17:25:319;0;4;
71,0;3,56;12:17:25:519;0;4;
71,2;3,56;12:17:25:719;0;4;
71,4;3,55;12:17:25:919;0;4;
71,6;3,55;12:17:26:119;0;4;
71,8;3,54;12:17:26:319;0;4;
72,0;3,54;12:17:26:519;0;4;
72,2;3,54;12:17:26:719;0;4;
72,4;3,53;12:17:26:919;0;4;
72,6;3,53;12:17:27:119;0;4;
72,8;3,52;12:17:27:319;0;4;
73,0;3,52;12:17:27:519;0;4;
73,2;3,51;12:17:27:719;0;4;
